PEDIDO|ITEM|MATERIAL|ORIGEM|DESTINO|ORDEM_DO_APO|DATA_DE_SOLICITACAO|DATA_DA_CRIACAO|CODIGO_DO_CLIENTE_EG|QUANTIDADE|UNIDADE|ETL_DATE
100000|1|000000000000038995|BR31|BR5D||2019-11-20|2019-11-19||316774|HL|2019-11-22 11:50:33
100001|1|000000000000038995|BR31|BR5D||2019-11-20|2019-11-19||316774|HL|2019-11-22 11:50:33
100002|1|000000000000038729|BR31|BR5D||2019-11-20|2019-11-19||204000|HL|2019-11-22 11:50:33
100002|2|000000000000038893|BR31|BR5D||2019-11-20|2019-11-19||24572|HL|2019-11-22 11:50:33
100002|3|000000000000065928|BR31|BR5D||2019-11-20|2019-11-19||42240|HL|2019-11-22 11:50:33
100003|1|000000000000038934|BR31|BR5D||2019-11-20|2019-11-19||161280|HL|2019-11-22 11:50:33
100003|4|000000000000046444|BR31|BR5D||2019-11-20|2019-11-19||22381|HL|2019-11-22 11:50:33
100003|5|000000000000038720|BR31|BR5D||2019-11-20|2019-11-19||52800|HL|2019-11-22 11:50:34
100003|6|000000000000070256|BR31|BR5D||2019-11-20|2019-11-19||30000|HL|2019-11-22 11:50:34
100004|1|000000000000038689|BR04|BR5D||2019-11-20|2019-11-19||40320|HL|2019-11-22 11:50:34
100004|2|000000000000038693|BR04|BR5D||2019-11-20|2019-11-19||84000|HL|2019-11-22 11:50:34
100004|3|000000000000038863|BR04|BR5D||2019-11-20|2019-11-19||80640|HL|2019-11-22 11:50:34
100004|4|000000000000038867|BR04|BR5D||2019-11-20|2019-11-19||84000|HL|2019-11-22 11:50:34
100004|5|000000000000038949|BR04|BR5D||2019-11-20|2019-11-19||9600|HL|2019-11-22 11:50:34
100004|6|000000000000038948|BR04|BR5D||2019-11-20|2019-11-19||9600|HL|2019-11-22 11:50:34
100005|1|000000000000038693|BR04|BR5D||2019-11-20|2019-11-19||192000|HL|2019-11-22 11:50:34
100005|2|000000000000050516|BR04|BR5D||2019-11-20|2019-11-19||4032|HL|2019-11-22 11:50:34
100005|4|000000000000038863|BR04|BR5D||2019-11-20|2019-11-19||70560|HL|2019-11-22 11:50:34
100005|5|000000000000038995|BR04|BR5D||2019-11-20|2019-11-19||24367|HL|2019-11-22 11:50:34
100005|6|000000000000039891|BR04|BR5D||2019-11-20|2019-11-19||7157|HL|2019-11-22 11:50:34
100005|7|000000000000062848|BR04|BR5D||2019-11-20|2019-11-19||2812|HL|2019-11-22 11:50:34
100006|1|000000000000038995|BR31|BR5D||2019-11-20|2019-11-19||255856|HL|2019-11-22 11:50:34
100006|2|000000000000053178|BR31|BR5D||2019-11-20|2019-11-19||36960|HL|2019-11-22 11:50:34
100007|1|000000000000038934|BR31|BR5D||2019-11-21|2019-11-19||282240|HL|2019-11-22 11:50:34
100008|1|000000000000038693|BR04|BR5D||2019-11-20|2019-11-19||72000|HL|2019-11-22 11:50:34
100008|2|000000000000038695|BR04|BR5D||2019-11-20|2019-11-19||7157|HL|2019-11-22 11:50:34
100008|4|000000000000038863|BR04|BR5D||2019-11-20|2019-11-19||100800|HL|2019-11-22 11:50:34
100008|5|000000000000038995|BR04|BR5D||2019-11-20|2019-11-19||24367|HL|2019-11-22 11:50:34
100008|6|000000000000038948|BR04|BR5D||2019-11-20|2019-11-19||9600|HL|2019-11-22 11:50:34
100008|7|000000000000075422|BR04|BR5D||2019-11-20|2019-11-19||97469|HL|2019-11-22 11:50:34
100009|5|000000000000075422|BR04|BR5D||2019-11-20|2019-11-19||328957|HL|2019-11-22 11:50:34
100010|4|000000000000075422|BR04|BR5D||2019-11-20|2019-11-19||328957|HL|2019-11-22 11:50:34
100012|1|000000000000038949|BR04|BR5D||2019-11-20|2019-11-19||67200|HL|2019-11-22 11:50:34
